id;texto;classificacao
'1448306767767744514';via mangue sentido boa viagem acidente no inicio da via mangue deixa transito complicado na area transitorecife;--
'1448659835298332680';estradas mineiras tem 19 mortes em 226 acidentes no feriado prolongado  via ;--
'1448356376909131780';caminhoneiro e preso apos denuncia de atropelamento na dutra em cacapava sp  via ;--
'1448356304037289985';gravida de 27 anos morre em acidente em estrada vicinal de araraquara  via ;--
'1448344493246255111';onibus da gontijo envolvido em acidente na br 262 tem 7 multas  via ;--
'1448344425038598147';colisao entre onibus da gontijo e caminhao deixa 7 feridos na br 262 no es  via ;--
'1448380759731998724';motorista e preso apos denuncia de atropelamento em cacapavasp  condutor estava alcoolizado e resistiu a voz de prisao dada pelos prfs  saiba mais em   emergencia ou denuncia   ligue 191 ;--
'1448868854755647498';balanco do dia 14102021  009 acidentes  015 veiculos envolvidos  010 feridos  000 morto  375 pessoas fiscalizadas  288 veiculos fiscalizados  287 autos de infracao  007 veiculos recolhidos  001 veiculo recuperado  003 pessoas detidas;--
'1448520777075208192';balanco do dia 13102021   009 acidentes  015 veiculos envolvidos  009 feridos  000 morto 304 pessoas fiscalizadas  257 veiculos fiscalizados  316 autos de infracao  030 veiculos recolhidos  001 veiculo recuperado  002 pessoas detidas;--
'1449092446483320840';no momento nao ha ocorrencias relevantes nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem  em caso de acidentes liguem  prf 191  samu 192  cbmes 193  eco 101   0800 7701 101;--
'1448320125476691978';13h00   boa tarde no momento nao ha ocorrencias relevantes nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem  em caso de acidentes liguem  prf 191  samu 192  cbmes 193  eco 101   0800 7701 101;--
'1448304076622553094';durante os cinco dias de operacao foram registrados 33 acidentes e nenhuma vitima fatal comparando com o mesmo feriado em 2020 ocorreram 39 acidentes havendo uma reducao de 15 de acordo com dados oficiais a prf fiscalizou 1066 veiculos e 1348 pessoas ;--
'1448243358799904778';0800   em fundaoes no km 228 da br 101 por volta das 06h15  ocorreu uma saida de pista seguida de colisao com uma arvore envolvendo uma carreta o condutor faleceu no local nao ha interdicao de pista;--
'1448204209518784512';05h30   em conceicao do castelo km 121 da br 262 pista totalmente interditada devido acidente envolvendo onibus e caminhao equipes prf bombeiros e samu no local  ;--
'1448198052821483524';04h45   em conceicao do castelo proximo ao km 121 da br 262 informacao de um acidente envolvendo um onibus e um caminhao pista interditada no sentido vitoria pedimos atencao aos condutores que trafegam pela localidade;--
'1449052016098095104';acidente no km 4260 da br 282 em joacaba transito interrompido em ambos os sentidos;--
'1449037053618966532';atencao   devido a  acidente  ocorrido no km 8 da  br  116 o  transito permanece  com  lentidao no  local no momento a pista  esta  liberada siga  com o maximo de atencao e mantenha  distancia do  veiculo a  sua frente;--
'1448909901741400064';4h13    em joao monlevade no km 348 da br 381 pista totalmente interditada e sem previsao de liberacao em virtude de acidente com derramamento de oleo diesel equipes no local;--
'1449023555161792515';homem morre atropelado por carro de prefeitura na paraiba  ;--
'1448993810579697664';capotamento de caminhonete deixa duas pessoas mortas na paraiba  ;--
'1449108917716463620';1724 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;--
'1449018213849829406';1123 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;--
'1448936686176534529';0600 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;--
'1448861191938453562';0100 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;--
'1449156288034885633';homem que levava crianca na garupa de uma bicicleta e atropelado na baixada fluminense rj veja o que foi noticia nesta sexta 15 no jornaldarecord  jr24h ;--
'1449063810464157697';menino de 12 anos morre apos ser atropelado por carro em curitiba motorista fugiu  g1 g1pr ;--
'1449015957779738628';acidente com caminhonete deixa dois mortos e seis feridos em rodovia no sertao da paraiba g1 g1paraiba   ;--
'1449140529178898434';apesar do impacto motociclista esta bem  g1 bahia acidente;--
'1448655094950498310';acidente com danos no veiculo mas ele ainda pode rodar o que fazer nesse caso sera que ainda poderei dirigir ate a oficina quer saber a resposta acesse o link  ;--
'1448385551338512384';nos sistemas de transportes ferroviario e metroviario aguarde pelos trens atras da faixa amarela evite acidentes a sua seguranca tambem depende de voce ;--
